-START-OF-DATA-	
1991.5	3.101125000E-07
1992.5	3.106025000E-07
1993.5	3.110775000E-07
1994.5	3.116025000E-07
1995.5	3.122950000E-07
1996.5	3.130475000E-07
1997.5	3.137600000E-07
1998.5	3.145325000E-07
1999.5	3.152575000E-07
2000.5	3.158500000E-07
2001.5	3.164875000E-07
2002.5	3.172450000E-07
2003.5	3.180175000E-07
2004.5	3.187100000E-07
2005.5	3.194400000E-07
2006.5	3.201996700E-07
2007.5	3.208888500E-07
2008.5	3.215780200E-07
2009.5	3.222673500E-07
2010.5	3.229565400E-07
2011.5	3.236457500E-07
2012.5	3.243271600E-07
2013.5	3.249926400E-07
2014.5	3.256422000E-07
2015.5	3.262758400E-07
2016.5	3.268936000E-07
2017.5	3.274955900E-07
2018.5	3.280819400E-07
2019.5	3.286528000E-07
2020.5	3.292083000E-07
2021.5	3.297485800E-07
2022.5	3.302781200E-07
2023.5	3.308013600E-07
2024.5	3.313184400E-07
2025.5	3.318295000E-07
2026.5	3.323346300E-07
2027.5	3.328339300E-07
2028.5	3.333274300E-07
2029.5	3.338151900E-07
2030.5	3.342972800E-07
2031.5	3.347737200E-07
2032.5	3.352438700E-07
2033.5	3.357070400E-07
2034.5	3.361632800E-07
2035.5	3.366126500E-07
2036.5	3.370551900E-07
2037.5	3.374909700E-07
2038.5	3.379200500E-07
2039.5	3.383424800E-07
2040.5	3.387583400E-07
2041.5	3.391676600E-07
2042.5	3.395621900E-07
2043.5	3.399336200E-07
2044.5	3.402820400E-07
2045.5	3.406074900E-07
2046.5	3.409100900E-07
2047.5	3.411900000E-07
2048.5	3.414474300E-07
2049.5	3.416825700E-07
2050.5	3.418956200E-07
2051.5	3.420868000E-07
2052.5	3.422604700E-07
2053.5	3.424210200E-07
2054.5	3.425686300E-07
2055.5	3.427035000E-07
2056.5	3.428258000E-07
2057.5	3.429356500E-07
2058.5	3.430331800E-07
2059.5	3.431185000E-07
2060.5	3.431917100E-07
2061.5	3.432529400E-07
2062.5	3.433080200E-07
2063.5	3.433627800E-07
2064.5	3.434173300E-07
2065.5	3.434717800E-07
2066.5	3.435261800E-07
2067.5	3.435805800E-07
2068.5	3.436349800E-07
2069.5	3.436893700E-07
2070.5	3.437437600E-07
2071.5	3.437981500E-07
2072.5	3.438509700E-07
2073.5	3.439006600E-07
