-START-OF-DATA-	
1991.5	1.703817500E-06
1992.5	1.711800000E-06
1993.5	1.716290000E-06
1994.5	1.721012500E-06
1995.5	1.726350000E-06
1996.5	1.730010000E-06
1997.5	1.734817500E-06
1998.5	1.742710000E-06
1999.5	1.749242500E-06
2000.5	1.751022500E-06
2001.5	1.750707500E-06
2002.5	1.752187500E-06
2003.5	1.754760000E-06
2004.5	1.755065000E-06
2005.5	1.753735000E-06
2006.5	1.754514500E-06
2007.5	1.757684000E-06
2008.5	1.761980100E-06
2009.5	1.767259000E-06
2010.5	1.773127800E-06
2011.5	1.779540300E-06
2012.5	1.784551900E-06
2013.5	1.786368900E-06
2014.5	1.785286300E-06
2015.5	1.781582200E-06
2016.5	1.775478000E-06
2017.5	1.767151300E-06
2018.5	1.756773600E-06
2019.5	1.744511400E-06
2020.5	1.730518000E-06
2021.5	1.714871300E-06
2022.5	1.698723900E-06
2023.5	1.683305800E-06
2024.5	1.668825300E-06
2025.5	1.655367300E-06
2026.5	1.642854700E-06
2027.5	1.631186900E-06
2028.5	1.620250500E-06
2029.5	1.609952000E-06
2030.5	1.600215400E-06
2031.5	1.590976400E-06
2032.5	1.582200500E-06
2033.5	1.573879200E-06
2034.5	1.566005200E-06
2035.5	1.558564300E-06
2036.5	1.551541100E-06
2037.5	1.544926800E-06
2038.5	1.538683800E-06
2039.5	1.532755400E-06
2040.5	1.527097600E-06
2041.5	1.521680200E-06
2042.5	1.516025600E-06
2043.5	1.509650100E-06
2044.5	1.502598900E-06
2045.5	1.494991500E-06
2046.5	1.486926100E-06
2047.5	1.478486600E-06
2048.5	1.469752500E-06
2049.5	1.460765300E-06
2050.5	1.451539800E-06
2051.5	1.442096300E-06
2052.5	1.432709600E-06
2053.5	1.423621800E-06
2054.5	1.414742500E-06
2055.5	1.406012400E-06
2056.5	1.397453600E-06
2057.5	1.389077500E-06
2058.5	1.380891600E-06
2059.5	1.372906600E-06
2060.5	1.365105600E-06
2061.5	1.357451500E-06
2062.5	1.350226000E-06
2063.5	1.343686000E-06
2064.5	1.337750400E-06
2065.5	1.332295900E-06
2066.5	1.327232800E-06
2067.5	1.322552000E-06
2068.5	1.318237800E-06
2069.5	1.314273900E-06
2070.5	1.310650600E-06
2071.5	1.307333200E-06
2072.5	1.304278700E-06
2073.5	1.301454700E-06
2074.5	1.298830900E-06
2075.5	1.296380600E-06
2076.5	1.294030700E-06
2077.5	1.291735200E-06
2078.5	1.289521700E-06
2079.5	1.287407100E-06
2080.5	1.285404600E-06
2081.5	1.283530600E-06
2082.5	1.281757400E-06
2083.5	1.280040500E-06
2084.5	1.278363500E-06
2085.5	1.276718300E-06
2086.5	1.275097900E-06
2087.5	1.273447200E-06
2088.5	1.271736100E-06
2089.5	1.270004700E-06
2090.5	1.268281600E-06
2091.5	1.266590000E-06
2092.5	1.264973700E-06
2093.5	1.263447500E-06
2094.5	1.261986400E-06
2095.5	1.260573500E-06
2096.5	1.259199500E-06
2097.5	1.257856500E-06
2098.5	1.256489000E-06
2099.5	1.255066700E-06
2100.5	1.253628400E-06
2101.5	1.252202800E-06
2102.5	1.250886200E-06
2103.5	1.249766500E-06
2104.5	1.248825000E-06
2105.5	1.248027500E-06
2106.5	1.247348700E-06
2107.5	1.246771900E-06
2108.5	1.246282400E-06
2109.5	1.245819300E-06
2110.5	1.245347200E-06
2111.5	1.244899600E-06
2112.5	1.244499200E-06
2113.5	1.244164500E-06
2114.5	1.243916000E-06
2115.5	1.243748300E-06
2116.5	1.243638000E-06
2117.5	1.243569600E-06
2118.5	1.243534900E-06
2119.5	1.243527100E-06
2120.5	1.243492000E-06
2121.5	1.243400300E-06
2122.5	1.243290700E-06
2123.5	1.243190800E-06
2124.5	1.243123000E-06
2125.5	1.243111600E-06
2126.5	1.243154500E-06
2127.5	1.243231300E-06
2128.5	1.243329300E-06
2129.5	1.243442600E-06
2130.5	1.243566100E-06
2131.5	1.243647600E-06
2132.5	1.243659500E-06
2133.5	1.243641800E-06
2134.5	1.243623200E-06
2135.5	1.243627100E-06
2136.5	1.243678900E-06
2137.5	1.243777300E-06
2138.5	1.243902700E-06
2139.5	1.244043000E-06
2140.5	1.244193100E-06
2141.5	1.244348500E-06
2142.5	1.244457600E-06
2143.5	1.244493300E-06
2144.5	1.244496100E-06
2145.5	1.244494900E-06
2146.5	1.244513700E-06
2147.5	1.244577900E-06
2148.5	1.244686600E-06
2149.5	1.244820400E-06
2150.5	1.244967500E-06
2151.5	1.245123000E-06
2152.5	1.245282600E-06
2153.5	1.245394900E-06
2154.5	1.245432800E-06
2155.5	1.245436900E-06
2156.5	1.245436400E-06
2157.5	1.245455200E-06
2158.5	1.245518900E-06
2159.5	1.245626600E-06
2160.5	1.245758900E-06
2161.5	1.245904200E-06
2162.5	1.246057600E-06
2163.5	1.246214800E-06
2164.5	1.246324500E-06
2165.5	1.246359600E-06
2166.5	1.246360900E-06
2167.5	1.246357500E-06
2168.5	1.246373200E-06
2169.5	1.246433700E-06
2170.5	1.246538100E-06
2171.5	1.246667100E-06
2172.5	1.246809100E-06
2173.5	1.246959100E-06
2174.5	1.247112900E-06
2175.5	1.247219200E-06
2176.5	1.247251000E-06
2177.5	1.247249000E-06
2178.5	1.247242200E-06
2179.5	1.247254700E-06
2180.5	1.247311900E-06
2181.5	1.247413100E-06
2182.5	1.247538900E-06
2183.5	1.247677700E-06
2184.5	1.247824500E-06
2185.5	1.247975300E-06
2186.5	1.248078500E-06
2187.5	1.248107300E-06
2188.5	1.248102400E-06
2189.5	1.248092800E-06
2190.5	1.248102400E-06
2191.5	1.248156900E-06
2192.5	1.248255200E-06
2193.5	1.248378300E-06
2194.5	1.248514400E-06
2195.5	1.248658600E-06
2196.5	1.248806800E-06
2197.5	1.248907500E-06
2198.5	1.248933800E-06
2199.5	1.248926500E-06
2200.5	1.248914500E-06
2201.5	1.248921700E-06
2202.5	1.248973900E-06
2203.5	1.249069900E-06
2204.5	1.249190700E-06
2205.5	1.249324600E-06
2206.5	1.249466600E-06
2207.5	1.249612600E-06
2208.5	1.249711200E-06
2209.5	1.249735400E-06
2210.5	1.249726100E-06
2211.5	1.249712100E-06
2212.5	1.249717400E-06
2213.5	1.249767600E-06
2214.5	1.249861800E-06
2215.5	1.249980700E-06
2216.5	1.250112600E-06
2217.5	1.250252800E-06
2218.5	1.250397000E-06
2219.5	1.250493800E-06
2220.5	1.250516300E-06
2221.5	1.250505300E-06
2222.5	1.250489700E-06
2223.5	1.250493300E-06
2224.5	1.250541900E-06
2225.5	1.250634400E-06
2226.5	1.250751700E-06
2227.5	1.250882000E-06
2228.5	1.251020600E-06
2229.5	1.251163300E-06
2230.5	1.251258600E-06
2231.5	1.251279600E-06
2232.5	1.251267100E-06
2233.5	1.251250100E-06
2234.5	1.251252300E-06
2235.5	1.251299500E-06
2236.5	1.251390500E-06
2237.5	1.251506400E-06
2238.5	1.251635400E-06
2239.5	1.251772700E-06
2240.5	1.251914000E-06
2241.5	1.252008000E-06
2242.5	1.252027700E-06
2243.5	1.252014000E-06
2244.5	1.251995700E-06
2245.5	1.251996700E-06
2246.5	1.252042600E-06
2247.5	1.252132400E-06
2248.5	1.252247100E-06
2249.5	1.252374900E-06
2250.5	1.252510900E-06
2251.5	1.252651100E-06
2252.5	1.252743900E-06
2253.5	1.252762500E-06
2254.5	1.252747700E-06
2255.5	1.252728200E-06
2256.5	1.252728100E-06
2257.5	1.252772900E-06
2258.5	1.252861700E-06
2259.5	1.252975200E-06
2260.5	1.253102000E-06
2261.5	1.253237000E-06
2262.5	1.253376100E-06
2263.5	1.253467900E-06
2264.5	1.253485400E-06
2265.5	1.253469600E-06
2266.5	1.253449200E-06
2267.5	1.253448100E-06
2268.5	1.253491900E-06
2269.5	1.253579600E-06
2270.5	1.253692200E-06
2271.5	1.253818000E-06
2272.5	1.253952000E-06
2273.5	1.254090200E-06
2274.5	1.254181000E-06
2275.5	1.254197700E-06
2276.5	1.254180900E-06
2277.5	1.254159600E-06
2278.5	1.254157600E-06
2279.5	1.254200500E-06
2280.5	1.254287400E-06
2281.5	1.254399100E-06
2282.5	1.254523900E-06
2283.5	1.254657100E-06
2284.5	1.254794400E-06
2285.5	1.254884400E-06
2286.5	1.254900200E-06
2287.5	1.254882600E-06
2288.5	1.254860500E-06
2289.5	1.254857700E-06
2290.5	1.254899800E-06
2291.5	1.254985800E-06
2292.5	1.255096600E-06
2293.5	1.255220700E-06
2294.5	1.255353100E-06
2295.5	1.255489600E-06
2296.5	1.255578800E-06
2297.5	1.255593800E-06
2298.5	1.255575500E-06
2299.5	1.255552600E-06
2300.5	1.255549000E-06
2301.5	1.255590300E-06
2302.5	1.255675600E-06
2303.5	1.255785700E-06
2304.5	1.255909000E-06
2305.5	1.256040600E-06
2306.5	1.256176500E-06
2307.5	1.256264900E-06
2308.5	1.256279200E-06
2309.5	1.256260200E-06
2310.5	1.256236600E-06
2311.5	1.256232300E-06
2312.5	1.256272900E-06
2313.5	1.256357500E-06
2314.5	1.256466900E-06
2315.5	1.256589500E-06
2316.5	1.256720400E-06
2317.5	1.256855600E-06
2318.5	1.256943400E-06
2319.5	1.256957000E-06
2320.5	1.256937300E-06
2321.5	1.256913100E-06
2322.5	1.256908100E-06
2323.5	1.256948100E-06
2324.5	1.257032000E-06
2325.5	1.257140700E-06
2326.5	1.257262600E-06
2327.5	1.257393000E-06
2328.5	1.257527500E-06
2329.5	1.257614700E-06
2330.5	1.257627700E-06
2331.5	1.257607400E-06
2332.5	1.257582500E-06
2333.5	1.257577000E-06
2334.5	1.257616300E-06
2335.5	1.257699600E-06
2336.5	1.257807700E-06
2337.5	1.257929000E-06
2338.5	1.258058700E-06
2339.5	1.258192700E-06
2340.5	1.258279300E-06
2341.5	1.258291700E-06
2342.5	1.258270900E-06
2343.5	1.258245400E-06
