-START-OF-DATA-	
1991.5	3.550175000E-04
1992.5	3.558850000E-04
1993.5	3.567775000E-04
1994.5	3.581275000E-04
1995.5	3.598375000E-04
1996.5	3.614625000E-04
1997.5	3.631550000E-04
1998.5	3.653225000E-04
1999.5	3.673475000E-04
2000.5	3.688650000E-04
2001.5	3.704675000E-04
2002.5	3.725225000E-04
2003.5	3.747600000E-04
2004.5	3.768125000E-04
2005.5	3.788125000E-04
2006.5	3.808275000E-04
2007.5	3.827775000E-04
2008.5	3.848000000E-04
2009.5	3.870005400E-04
2010.5	3.892852100E-04
2011.5	3.915625200E-04
2012.5	3.938427300E-04
2013.5	3.961173400E-04
2014.5	3.983956800E-04
2015.5	4.006806800E-04
2016.5	4.029683000E-04
2017.5	4.052518200E-04
2018.5	4.075288200E-04
2019.5	4.098002900E-04
2020.5	4.120678300E-04
2021.5	4.143256500E-04
2022.5	4.165166200E-04
2023.5	4.186032200E-04
2024.5	4.206013200E-04
2025.5	4.225157500E-04
2026.5	4.243490100E-04
2027.5	4.260967500E-04
2028.5	4.277523200E-04
2029.5	4.293138100E-04
2030.5	4.307831500E-04
2031.5	4.321634400E-04
2032.5	4.334361800E-04
2033.5	4.345927300E-04
2034.5	4.356530200E-04
2035.5	4.366280400E-04
2036.5	4.375215800E-04
2037.5	4.383343300E-04
2038.5	4.390601500E-04
2039.5	4.396906100E-04
2040.5	4.402224000E-04
2041.5	4.406566600E-04
2042.5	4.410247600E-04
2043.5	4.413465100E-04
2044.5	4.416210000E-04
2045.5	4.418644000E-04
2046.5	4.420848200E-04
2047.5	4.422834000E-04
2048.5	4.424583000E-04
2049.5	4.426009100E-04
2050.5	4.427004600E-04
2051.5	4.427518400E-04
2052.5	4.427610000E-04
2053.5	4.427341700E-04
2054.5	4.426626300E-04
2055.5	4.425476700E-04
2056.5	4.424064200E-04
2057.5	4.422483300E-04
2058.5	4.420753500E-04
2059.5	4.418862500E-04
2060.5	4.416727400E-04
2061.5	4.414241500E-04
2062.5	4.411345000E-04
2063.5	4.408028400E-04
2064.5	4.404304100E-04
2065.5	4.400102100E-04
2066.5	4.395447300E-04
2067.5	4.390522200E-04
2068.5	4.385429100E-04
2069.5	4.380193200E-04
2070.5	4.374806200E-04
2071.5	4.369187800E-04
2072.5	4.363425100E-04
2073.5	4.357643600E-04
2074.5	4.351818900E-04
2075.5	4.345950000E-04
2076.5	4.339954200E-04
2077.5	4.333845600E-04
2078.5	4.327796100E-04
2079.5	4.321897800E-04
2080.5	4.316165900E-04
2081.5	4.310584700E-04
2082.5	4.305102600E-04
2083.5	4.299641300E-04
2084.5	4.294141100E-04
2085.5	4.288590600E-04
2086.5	4.282991000E-04
2087.5	4.277265200E-04
2088.5	4.271430800E-04
2089.5	4.265660700E-04
2090.5	4.260047200E-04
2091.5	4.254606500E-04
2092.5	4.249374500E-04
2093.5	4.244312900E-04
2094.5	4.239308300E-04
2095.5	4.234305800E-04
2096.5	4.229294500E-04
2097.5	4.224276100E-04
2098.5	4.219175300E-04
2099.5	4.214011100E-04
2100.5	4.208954600E-04
2101.5	4.204099800E-04
2102.5	4.199453200E-04
2103.5	4.194983100E-04
2104.5	4.190598100E-04
2105.5	4.186190200E-04
2106.5	4.181708200E-04
2107.5	4.177145400E-04
2108.5	4.172507000E-04
2109.5	4.167721900E-04
2110.5	4.162812700E-04
2111.5	4.157951800E-04
2112.5	4.153231900E-04
2113.5	4.148669600E-04
2114.5	4.144249600E-04
2115.5	4.139889300E-04
2116.5	4.135486700E-04
2117.5	4.130994200E-04
2118.5	4.126407600E-04
2119.5	4.121733800E-04
2120.5	4.116904500E-04
2121.5	4.111943500E-04
2122.5	4.107022800E-04
2123.5	4.102233900E-04
2124.5	4.097593000E-04
2125.5	4.093084700E-04
2126.5	4.088627000E-04
2127.5	4.084165600E-04
2128.5	4.079695600E-04
2129.5	4.075207300E-04
2130.5	4.070705100E-04
2131.5	4.066118900E-04
2132.5	4.061470700E-04
2133.5	4.056928600E-04
2134.5	4.052580900E-04
2135.5	4.048441300E-04
2136.5	4.044492200E-04
2137.5	4.040650700E-04
2138.5	4.036816100E-04
2139.5	4.032941500E-04
2140.5	4.029022600E-04
2141.5	4.025066200E-04
2142.5	4.021005600E-04
2143.5	4.016865300E-04
2144.5	4.012813100E-04
2145.5	4.008937500E-04
2146.5	4.005252300E-04
2147.5	4.001740400E-04
2148.5	3.998320400E-04
2149.5	3.994893000E-04
2150.5	3.991413100E-04
2151.5	3.987877200E-04
2152.5	3.984292700E-04
2153.5	3.980595000E-04
2154.5	3.976809100E-04
2155.5	3.973102100E-04
2156.5	3.969561600E-04
2157.5	3.966200900E-04
2158.5	3.963003000E-04
2159.5	3.959887100E-04
2160.5	3.956755400E-04
2161.5	3.953563400E-04
2162.5	3.950308500E-04
2163.5	3.946998500E-04
2164.5	3.943570000E-04
2165.5	3.940048900E-04
2166.5	3.936601000E-04
2167.5	3.933312800E-04
2168.5	3.930197400E-04
2169.5	3.927237400E-04
2170.5	3.924352500E-04
2171.5	3.921446000E-04
2172.5	3.918474400E-04
2173.5	3.915435400E-04
2174.5	3.912337000E-04
2175.5	3.909117200E-04
2176.5	3.905802400E-04
2177.5	3.902557100E-04
2178.5	3.899466800E-04
2179.5	3.896544100E-04
2180.5	3.893771300E-04
2181.5	3.891068700E-04
2182.5	3.888340400E-04
2183.5	3.885543700E-04
2184.5	3.882676500E-04
2185.5	3.879747300E-04
2186.5	3.876695000E-04
2187.5	3.873546500E-04
2188.5	3.870465100E-04
2189.5	3.867535300E-04
2190.5	3.864769200E-04
2191.5	3.862148700E-04
2192.5	3.859594600E-04
2193.5	3.857011800E-04
2194.5	3.854358200E-04
2195.5	3.851632200E-04
2196.5	3.848842400E-04
2197.5	3.845928600E-04
2198.5	3.842918300E-04
2199.5	3.839973500E-04
2200.5	3.837177800E-04
2201.5	3.834542500E-04
2202.5	3.832049500E-04
2203.5	3.829619700E-04
2204.5	3.827159100E-04
2205.5	3.824626000E-04
2206.5	3.822019100E-04
2207.5	3.819347100E-04
2208.5	3.816551000E-04
2209.5	3.813658500E-04
2210.5	3.810830400E-04
2211.5	3.808149400E-04
2212.5	3.805626300E-04
2213.5	3.803242600E-04
2214.5	3.800919500E-04
2215.5	3.798563800E-04
2216.5	3.796134500E-04
2217.5	3.793630400E-04
2218.5	3.791060400E-04
2219.5	3.788366500E-04
2220.5	3.785576500E-04
2221.5	3.782850300E-04
2222.5	3.780269600E-04
2223.5	3.777844500E-04
2224.5	3.775556300E-04
2225.5	3.773326600E-04
2226.5	3.771062900E-04
2227.5	3.768724600E-04
2228.5	3.766310900E-04
2229.5	3.763830800E-04
2230.5	3.761227100E-04
2231.5	3.758528100E-04
2232.5	3.755892300E-04
2233.5	3.753400600E-04
2234.5	3.751062800E-04
2235.5	3.748859500E-04
2236.5	3.746712800E-04
2237.5	3.744531000E-04
2238.5	3.742273900E-04
2239.5	3.739941000E-04
2240.5	3.737541200E-04
2241.5	3.735018400E-04
2242.5	3.732401100E-04
2243.5	3.729846700E-04
2244.5	3.727435300E-04
2245.5	3.725175900E-04
2246.5	3.723049200E-04
2247.5	3.720977300E-04
2248.5	3.718869200E-04
2249.5	3.716685400E-04
2250.5	3.714425400E-04
2251.5	3.712098400E-04
2252.5	3.709648900E-04
2253.5	3.707105900E-04
2254.5	3.704625600E-04
2255.5	3.702287200E-04
2256.5	3.700099300E-04
2257.5	3.698042200E-04
2258.5	3.696038500E-04
2259.5	3.693997600E-04
2260.5	3.691880600E-04
2261.5	3.689687100E-04
2262.5	3.687426600E-04
2263.5	3.685044200E-04
2264.5	3.682569300E-04
2265.5	3.680157000E-04
2266.5	3.677885700E-04
2267.5	3.675763500E-04
2268.5	3.673770300E-04
2269.5	3.671829000E-04
2270.5	3.669849800E-04
2271.5	3.667794100E-04
2272.5	3.665661900E-04
2273.5	3.663462500E-04
2274.5	3.661142100E-04
2275.5	3.658730000E-04
2276.5	3.656380600E-04
2277.5	3.654171300E-04
2278.5	3.652109800E-04
2279.5	3.650175700E-04
2280.5	3.648292100E-04
2281.5	3.646369900E-04
2282.5	3.644371000E-04
2283.5	3.642295400E-04
2284.5	3.640152600E-04
2285.5	3.637889600E-04
2286.5	3.635536000E-04
2287.5	3.633245100E-04
2288.5	3.631093500E-04
2289.5	3.629088400E-04
2290.5	3.627209100E-04
2291.5	3.625379100E-04
2292.5	3.623509900E-04
2293.5	3.621563700E-04
2294.5	3.619540800E-04
2295.5	3.617450800E-04
2296.5	3.615241300E-04
2297.5	3.612942300E-04
2298.5	3.610706000E-04
2299.5	3.608608300E-04
2300.5	3.606655800E-04
